search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes
yellow maxi dress,Miss Chase,Women's Yellow and White V neck Floral Printed Layered Maxi Dress,https://www.nykaafashion.com/miss-chase-women-yellow-white-v-neck-full-sleeve-floral-layered-maxi-dress/p/5524043,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/c/7c39942MISAA00002123_1.jpg,"₹1,485","2,395",4.6,"sooo good, iam happy with the dress, perfect fix , and looking soooooo good 😻",XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock); 4XL (In Stock)
yellow maxi dress,Vastranand,Lime Yellow Abstract Print Dress,https://www.nykaafashion.com/vastranand-lime-yellow-abstract-print-dress/p/16310284,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/9/f/9f76ba5Dress-10_1.jpg,"₹3,019","5,696",3.8,s size little loose,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
yellow maxi dress,Bullion knot,Daffodil Dream Maxi Dress In Yellow,https://www.nykaafashion.com/bullion-knot-daffodil-dream-maxi-dress-in-yellow/p/18071181,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/8/18ca0d1BK973N_1.jpg,N/A,N/A,N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
yellow maxi dress,ANVI Be Yourself,Women Floral Printed Yellow Square Neck Georgette Fit and Flare Midi Dress,https://www.nykaafashion.com/anvi-be-yourself-women-floral-printed-yellow-square-neck-georgette-fit-and-flare-midi-dress/p/18444151,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/c/1ce264dANVI2DD0355_1.jpg,"₹1,300","2,599",3.7,nicel and fashionable,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
yellow maxi dress,Madame,Yellow Floral V-Neck Maxi Dress,https://www.nykaafashion.com/madame-yellow-floral-v-neck-maxi-dress/p/10180042,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/9/a/9ac26efJACPR-M3S13706-YELLOW_1.jpg,"₹1,200","3,999",3.7,very fit,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock)
yellow maxi dress,Outzidr,Yellow Conversational Printed Shirt Party Dress,https://www.nykaafashion.com/outzidr-yellow-conversational-printed-shirt-party-dress/p/21026482,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/8/7856d73WMX102399022515Yellow_1.jpg,N/A,N/A,N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock); 4XL (In Stock); 5XL (In Stock)
yellow maxi dress,Sivaka India,Yellow Ikat Print Cotton Maxi Dress,https://www.nykaafashion.com/sivaka-india-yellow-ikat-print-cotton-maxi-dress/p/19334281,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/3/8/38fa7c3SIV_DR036_1.jpg,"₹2,680","3,999",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock); 4XL (In Stock)
yellow maxi dress,WISHFUL by W,Yellow Floral Dress With Dupatta (Set of 2),https://www.nykaafashion.com/wishful-by-w-yellow-floral-dress-with-dupatta-set-of-2/p/11789401,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/a/d/ad3101e23FESP11297-120208_1.jpg,"₹3,040","7,999",4.2,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock)
yellow maxi dress,B'Infinite,Sunshine Yellow Off Shoulder Corset Dress,https://www.nykaafashion.com/b-infinite-sunshine-yellow-off-shoulder-corset-dress/p/20222148,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/b/f/bf40dd0D240_1.jpg,"₹5,510","5,799",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
yellow maxi dress,Twenty Dresses by Nykaa Fashion,Yellow Checks Strappy Frill Detail Fit and Flare Maxi Dress,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-yellow-checks-strappy-frill-detail-fit-and-flare-maxi-dress/p/18450718,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/4/741dcf0DR012538_1.jpg,"₹3,596","3,995",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
